ID,Datierung,Bereich
"1,764","1908, Guss 1927",Galerie
"1,810","um 1916, Guss 1927",Galerie
"1,822","1837, posthumer Guss",Galerie
"1,832","1907, Guss 1927",Galerie
"1,857","1913 (posthumer Guss, ca. 1952)",Galerie
"13,013",um 1492 (Abdruck des 19. Jh.),Kupferstichkabinett
"13,481","1950, gedruckt 1985",Kupferstichkabinett
"13,916","1893, gedruckt um 1931",Kupferstichkabinett
"13,918","1893/94, gedruckt um 1931",Kupferstichkabinett
"14,322",1553 (Druck um 1595),Kupferstichkabinett
"16,648",1896 (Druck vermutlich 1913),Kupferstichkabinett
"16,653",1896 (Druck vermutlich nach 1906),Kupferstichkabinett
"16,669",1905 (Druck nach 1906),Kupferstichkabinett
"16,671",1906 (gedruckt um 1913/14),Kupferstichkabinett
"17,803","um 1450 (Druckstock), um 1470",Kupferstichkabinett
"17,938","um 1490, Neudruck des 18. Jh.",Kupferstichkabinett
"17,939","um 1470/80, Neudruck des 18. Jh. (?)",Kupferstichkabinett
"17,940","um 1470/80, Neudruck des 17. oder 18. Jh.",Kupferstichkabinett
"18,766",1961/62 (1969 gedruckt),Kupferstichkabinett
"19,809",1651 (Druck um 1800),Kupferstichkabinett
"19,821",um 1657 (Druck 18. Jh.),Kupferstichkabinett
"20,225",um 1657 (Druck 20 Jh.),Kupferstichkabinett
"20,918",1833 (Platte) 1865 (Abzug),Kupferstichkabinett
"21,391","1868 (Zeichnung), 1869 (Platte und Druck)",Kupferstichkabinett
"21,433",1854 (gedruckt 1861),Kupferstichkabinett
"21,452",1815 (Druck 1876),Kupferstichkabinett
"22,510",1925 (Nachlassdruck vor 1929),Kupferstichkabinett
"22,511",1926 (Nachlassdruck vor 1929),Kupferstichkabinett
"25,046",um 1492 (Abdruck des 19. Jh.),Kupferstichkabinett
"25,654",1495 (Erstverwendung Druckerzeichen); 1497 (Druck),Kupferstichkabinett
"26,254",1556 (Neudruck des 18. Jahrhunderts),Kupferstichkabinett
"26,375",1596 (Abdruck vor 1656),Kupferstichkabinett
"26,832",1514/15 (Druck 1549),Kupferstichkabinett
"27,060",1957 (Druckstock),Kupferstichkabinett
"27,071",1963 (Platte),Kupferstichkabinett
"27,214","1949 (Druckstock, Abdruck später)",Kupferstichkabinett
"27,602",um 1924/25 (Nachlassdruck vor 1929),Kupferstichkabinett
"27,603",1924 (Nachlassdruck vor 1929),Kupferstichkabinett
"27,605",1925 (Nachlassdruck vor 1929),Kupferstichkabinett
"27,606",1925 (Belegdruck für den Nachlass 1968),Kupferstichkabinett
"27,607",um 1924/25 (Nachlassdruck vor 1929),Kupferstichkabinett
"27,608",1924 (Nachlassdruck vor 1929),Kupferstichkabinett
"27,609",1926 (Nachlassdruck vor 1929),Kupferstichkabinett
"27,610",1924 (Nachlassdruck vor 1929),Kupferstichkabinett
"27,611",1924 (Nachlassdruck vor 1929),Kupferstichkabinett
"27,612",1925 (Nachlassdruck vor 1929),Kupferstichkabinett
"27,613",um 1925/26 (Nachlassdruck vor 1929),Kupferstichkabinett
"27,614",1925 (Nachlassdruck vor 1929),Kupferstichkabinett
"27,615",um 1924/25 (Nachlassdruck vor 1929),Kupferstichkabinett
"27,617",1925 (Nachlassdruck vor 1929),Kupferstichkabinett
"27,618",1924 (Nachlassdruck vor 1929),Kupferstichkabinett
"27,619",1924 (Nachlassdruck vor 1929),Kupferstichkabinett
"27,620",1925 (Nachlassdruck vor 1929),Kupferstichkabinett
"27,624",1925 (Nachlassdruck vor 1929),Kupferstichkabinett
"27,625",1924 (Nachlassdruck vor 1929),Kupferstichkabinett
"27,626",1924 (Nachlassdruck vor 1929),Kupferstichkabinett
"27,627",1924 (Nachlassdruck vor 1929),Kupferstichkabinett
"27,765",1925 (Belegdruck für den Nachlass 1968),Kupferstichkabinett
"27,767",1925 (Belegdruck für den Nachlass 1968),Kupferstichkabinett
"27,771",1924 (Nachlassdruck vor 1929),Kupferstichkabinett
"27,772",1925 (Nachlassdruck vor 1929),Kupferstichkabinett
"27,773",1925 (Nachlassdruck vor 1929),Kupferstichkabinett
"27,774",1924 (Nachlassdruck vor 1929),Kupferstichkabinett
"27,775",1925 (Nachlassdruck vor 1929),Kupferstichkabinett
"27,776",1925 (Nachlassdruck vor 1929),Kupferstichkabinett
"27,777",1926 (Nachlassdruck vor 1929),Kupferstichkabinett
"27,778",1925 (Nachlassdruck vor 1929),Kupferstichkabinett
"27,779",1924 (Nachlassdruck vor 1929),Kupferstichkabinett
"27,780",1924 (Nachlassdruck vor 1929),Kupferstichkabinett
"27,781",um 1924/25 (Nachlassdruck vor 1929),Kupferstichkabinett
