Picturepark ID,BasicInformation.filename,BasicInformation.category.filenameCode,ObjectInformation.objects.objectId
014fd44e8f7145eba7978933d1acdbe7,kw1d_0012922_2021-11-23_s-001-dw.jpg,1,12922
0206e1d75bcc4543865807664abdd952,kw1a_0029889_2014-06-17_s-003-dw.jpg,1,29889
029c64eb85c34ad08cafa3afa7b9a8ab,kw1a_0035303_2014-04-01_s-003-dw.jpg,1,35303
02f52279bf75459e92aca4629216b27d,kw1a_0049107_2023-12-20_s-001-dw.jpg,1,49107
04cee80541fd4b5fa731cf4c1b55538e,kw1a_0028413_2023-02-28_s-001-dw.jpg,1,28413
05f436b5db1447778919e97ba60c51a5,kw1a_0029883_2014-05-02_s-003-dw.jpg,1,29883
062ccb6526414912b12f8623443bff1a,kw2a_0047136_2022-12-14_s-001-dw.jpg,?,47136
06c6d08d620a45c4970cac6a087c6a03,kw1a_0040067_2017-07-25_s-001-dw.jpg,1,40067
075582dd435d41aa91985b22a79bce18,kw1a_0082884_2023-12-20_s-001-dw.jpg,1,82884
07ae41e7753e4155ada2c1e926cd2ba4,kw1a_0048488_2023-08-09_s-002-dw-ra.jpg,1,48488
07aff8a45c664ca1aeb0413f04c0adb8,kw1a_0029874_2023-08-09_s-002-dw-ra.jpg,1,29874
0824a45e36ba4f8ebd49a2c1e9d228ef,kw1a_0017287_2014-04-01_s-001-dw.jpg,1,17287
089d6125b675494898821379cefab865,kw2a_0036218_2014-06-04_s-002-dw.jpg,2,36218
08ce3e30474341d7af617c7191d07028,kw1a_0029889_2014-06-17_s-001-dw.jpg,1,29889
08e48cc38c694d45bd93707c75e7cb47,kw1a_0074833_2024-06-12_s-001-dw.jpg,1,74833
09864907795e4837bb9c14b2ada3926e,kw1a_0077014_2023-11-01_s-001-dw.jpg,1,77014
09cc0582492746a389db0ff8a1710c4b,kw1a_0032288_2023-03-02_s-001-dw.jpg,1,32288
0aed0391464442eeaa55e845e9184462,kw1a_0029882_2014-05-02_s-003-dw.jpg,1,29882
0dec6d6bb1494d74aaa2f1f8f22072cc,kw1a_0044639_2023-10-04_s-002-dw.jpg,1,44639
0e28a8e495144c8a818eb018fe96ea7e,kw1a_0036225_2014-06-05_s-001-dw.jpg,1,36225
